threshold,within_class_variance,accuracy,iou,fg_weight,fg_variance,bg_weight,bg_variance
140,1123.17,0.8306,0.7100,0.5038,922.54,0.4962,1326.86
139,1123.32,0.8291,0.7071,0.5069,944.47,0.4931,1307.18
141,1123.52,0.8319,0.7128,0.5007,901.17,0.4993,1346.48
138,1123.95,0.8277,0.7042,0.5101,966.96,0.4899,1287.42
142,1124.36,0.8334,0.7157,0.4975,879.53,0.5025,1366.78
137,1125.06,0.8262,0.7013,0.5132,989.34,0.4868,1268.18
143,1125.70,0.8347,0.7184,0.4943,857.90,0.5057,1387.49
136,1126.73,0.8248,0.6984,0.5165,1013.00,0.4835,1248.24
144,1127.47,0.8360,0.7210,0.4913,837.26,0.5087,1407.70
135,1128.83,0.8233,0.6954,0.5197,1036.14,0.4803,1229.14
145,1129.74,0.8372,0.7235,0.4882,816.66,0.5118,1428.33
134,1131.51,0.8220,0.6926,0.5231,1060.37,0.4769,1209.52
146,1132.51,0.8384,0.7259,0.4850,796.17,0.5150,1449.30
133,1134.71,0.8207,0.6898,0.5264,1085.00,0.4736,1189.97
147,1135.76,0.8396,0.7284,0.4819,775.91,0.5181,1470.50
132,1138.41,0.8193,0.6868,0.5297,1109.83,0.4703,1170.61
148,1139.54,0.8407,0.7307,0.4788,755.63,0.5212,1492.18
131,1142.46,0.8178,0.6837,0.5330,1133.99,0.4670,1152.13
149,1143.73,0.8417,0.7330,0.4757,735.96,0.5243,1513.66
130,1147.08,0.8162,0.6804,0.5363,1158.72,0.4637,1133.61
150,1148.29,0.8429,0.7353,0.4727,716.99,0.5273,1534.87
129,1152.02,0.8146,0.6772,0.5394,1182.84,0.4606,1115.92
151,1153.39,0.8438,0.7373,0.4696,698.04,0.5304,1556.55
128,1157.24,0.8129,0.6739,0.5425,1206.19,0.4575,1099.19
152,1158.95,0.8448,0.7395,0.4666,679.39,0.5334,1578.40
127,1163.14,0.8113,0.6707,0.5457,1230.58,0.4543,1082.14
153,1164.95,0.8457,0.7415,0.4636,661.12,0.5364,1600.31
126,1169.48,0.8097,0.6674,0.5488,1255.04,0.4512,1065.43
154,1171.40,0.8465,0.7433,0.4605,643.16,0.5395,1622.37
125,1176.43,0.8080,0.6640,0.5520,1280.12,0.4480,1048.69
155,1178.20,0.8473,0.7451,0.4576,625.77,0.5424,1644.25
124,1183.90,0.8062,0.6605,0.5552,1305.50,0.4448,1032.13
156,1185.68,0.8482,0.7469,0.4546,608.13,0.5454,1667.01
123,1191.77,0.8044,0.6569,0.5584,1330.82,0.4416,1015.98
157,1193.56,0.8489,0.7487,0.4516,590.93,0.5484,1689.74
122,1199.97,0.8026,0.6534,0.5615,1355.82,0.4385,1000.43
158,1202.00,0.8496,0.7503,0.4485,573.78,0.5515,1712.97
121,1209.04,0.8008,0.6497,0.5647,1382.18,0.4353,984.41
159,1211.06,0.8502,0.7518,0.4455,556.60,0.5545,1736.78
120,1218.33,0.7989,0.6461,0.5679,1407.96,0.4321,969.12
160,1220.91,0.8505,0.7530,0.4423,539.10,0.5577,1761.58
119,1228.26,0.7971,0.6424,0.5711,1434.37,0.4289,953.83
161,1231.28,0.8510,0.7542,0.4391,521.75,0.5609,1786.70
118,1238.87,0.7953,0.6387,0.5743,1461.45,0.4257,938.52
162,1241.93,0.8513,0.7553,0.4360,504.97,0.5640,1811.52
117,1250.25,0.7933,0.6348,0.5777,1489.43,0.4223,923.06
163,1252.99,0.8515,0.7562,0.4328,488.53,0.5672,1836.41
116,1261.98,0.7913,0.6308,0.5810,1517.23,0.4190,908.04
164,1264.09,0.8518,0.7572,0.4299,472.97,0.5701,1860.56
115,1274.12,0.7893,0.6270,0.5843,1545.01,0.4157,893.38
165,1275.66,0.8519,0.7580,0.4269,457.66,0.5731,1884.92
114,1286.54,0.7873,0.6230,0.5875,1572.50,0.4125,879.22
166,1287.73,0.8521,0.7589,0.4239,442.58,0.5761,1909.56
113,1299.92,0.7853,0.6190,0.5909,1601.20,0.4091,864.79
167,1300.16,0.8523,0.7597,0.4209,427.88,0.5791,1934.19
168,1312.96,0.8525,0.7606,0.4180,413.55,0.5820,1958.87
112,1313.57,0.7832,0.6148,0.5942,1629.62,0.4058,850.85
169,1326.05,0.8526,0.7613,0.4151,399.68,0.5849,1983.44
111,1328.01,0.7812,0.6108,0.5975,1658.81,0.4025,836.88
170,1339.25,0.8527,0.7620,0.4123,386.43,0.5877,2007.59
110,1343.29,0.7791,0.6066,0.6010,1688.85,0.3990,822.83
171,1353.16,0.8527,0.7626,0.4094,373.21,0.5906,2032.41
109,1358.85,0.7769,0.6023,0.6044,1718.64,0.3956,809.22
172,1367.13,0.8527,0.7630,0.4066,360.62,0.5934,2056.79
108,1375.18,0.7749,0.5982,0.6078,1749.10,0.3922,795.63
173,1381.53,0.8526,0.7634,0.4038,348.32,0.5962,2081.36
107,1391.99,0.7726,0.5937,0.6113,1779.68,0.3887,782.30
174,1396.26,0.8525,0.7638,0.4011,336.40,0.5989,2105.94
106,1409.53,0.7704,0.5893,0.6148,1810.84,0.3852,769.05
175,1410.86,0.8523,0.7641,0.3984,325.21,0.6016,2129.83
176,1426.62,0.8520,0.7642,0.3956,313.76,0.6044,2155.12
105,1427.74,0.7682,0.5849,0.6183,1842.44,0.3817,755.91
177,1442.45,0.8518,0.7643,0.3929,302.85,0.6071,2180.02
104,1446.46,0.7659,0.5803,0.6219,1874.21,0.3781,743.01
178,1458.01,0.8514,0.7642,0.3903,292.69,0.6097,2204.09
103,1466.61,0.7635,0.5756,0.6256,1907.65,0.3744,729.73
179,1474.91,0.8509,0.7641,0.3876,282.25,0.6124,2229.77
102,1487.76,0.7611,0.5707,0.6294,1942.01,0.3706,716.35
180,1491.51,0.8503,0.7638,0.3850,272.52,0.6150,2254.57
101,1508.84,0.7586,0.5657,0.6331,1975.56,0.3669,703.55
181,1508.88,0.8496,0.7633,0.3823,262.88,0.6177,2280.10
182,1525.95,0.8489,0.7627,0.3798,253.92,0.6202,2304.82
100,1530.10,0.7561,0.5608,0.6367,2008.72,0.3633,691.19
183,1543.77,0.8480,0.7620,0.3772,245.07,0.6228,2330.23
99,1552.57,0.7537,0.5559,0.6405,2043.09,0.3595,678.66
184,1562.65,0.8472,0.7614,0.3745,236.20,0.6255,2356.78
98,1576.36,0.7512,0.5509,0.6444,2078.78,0.3556,665.90
185,1581.07,0.8462,0.7604,0.3719,228.01,0.6281,2382.32
97,1600.30,0.7486,0.5457,0.6483,2114.02,0.3517,653.55
186,1600.45,0.8451,0.7594,0.3693,219.86,0.6307,2408.83
187,1620.59,0.8439,0.7583,0.3666,211.86,0.6334,2436.03
96,1625.38,0.7460,0.5404,0.6522,2150.26,0.3478,641.10
188,1641.41,0.8427,0.7572,0.3639,204.05,0.6361,2463.77
95,1650.11,0.7433,0.5351,0.6560,2185.37,0.3440,629.29
189,1661.44,0.8412,0.7557,0.3614,196.95,0.6386,2490.15
94,1676.34,0.7407,0.5299,0.6600,2221.96,0.3400,617.24
190,1683.43,0.8397,0.7541,0.3586,189.60,0.6414,2518.76
93,1703.90,0.7380,0.5244,0.6641,2259.74,0.3359,605.02
191,1705.18,0.8381,0.7526,0.3560,182.75,0.6440,2546.74
192,1727.98,0.8365,0.7509,0.3533,175.97,0.6467,2575.73
92,1732.14,0.7353,0.5189,0.6682,2297.80,0.3318,592.92
193,1750.92,0.8347,0.7491,0.3506,169.56,0.6494,2604.58
91,1760.34,0.7324,0.5131,0.6723,2335.17,0.3277,581.25
194,1774.52,0.8328,0.7470,0.3479,163.36,0.6521,2633.95
90,1789.57,0.7296,0.5075,0.6764,2373.27,0.3236,569.58
195,1799.74,0.8307,0.7449,0.3450,157.13,0.6550,2664.99
89,1819.04,0.7268,0.5017,0.6805,2411.09,0.3195,558.21
196,1825.59,0.8286,0.7426,0.3421,151.13,0.6579,2696.47
88,1850.37,0.7239,0.4959,0.6847,2450.65,0.3153,546.52
197,1852.53,0.8263,0.7402,0.3392,145.26,0.6608,2728.93
198,1880.63,0.8239,0.7377,0.3362,139.51,0.6638,2762.45
87,1881.80,0.7209,0.4898,0.6890,2489.73,0.3110,535.16
199,1909.43,0.8215,0.7351,0.3332,133.99,0.6668,2796.44
86,1914.74,0.7180,0.4838,0.6933,2530.05,0.3067,523.63
200,1938.85,0.8189,0.7324,0.3301,128.70,0.6699,2830.80
