threshold,bg_weight,bg_mean,fg_weight,fg_mean,between_class_variance
139,0.4962,72.73,0.5038,206.03,4441.475413133746
138,0.4931,72.31,0.5069,205.61,4441.333244785262
140,0.4993,73.15,0.5007,206.43,4441.133669175797
137,0.4899,71.88,0.5101,205.19,4440.697295746546
141,0.5025,73.58,0.4975,206.85,4440.292653445419
136,0.4868,71.46,0.5132,204.77,4439.5859159015545
142,0.5057,74.01,0.4943,207.27,4438.953759310241
135,0.4835,71.02,0.5165,204.33,4437.919430113472
143,0.5087,74.42,0.4913,207.67,4437.185116986242
134,0.4803,70.60,0.5197,203.91,4435.820258888958
144,0.5118,74.85,0.4882,208.07,4434.9141812405505
133,0.4769,70.16,0.5231,203.46,4433.138947731587
145,0.5150,75.27,0.4850,208.48,4432.144936712165
132,0.4736,69.71,0.5264,203.01,4429.939463498314
146,0.5181,75.70,0.4819,208.88,4428.892095677366
131,0.4703,69.27,0.5297,202.56,4426.241820215293
147,0.5212,76.13,0.4788,209.29,4425.111397933041
130,0.4670,68.84,0.5330,202.13,4422.186515348879
148,0.5243,76.55,0.4757,209.69,4420.924297870494
129,0.4637,68.41,0.5363,201.69,4417.575189211732
149,0.5273,76.97,0.4727,210.08,4416.3601775822
128,0.4606,67.99,0.5394,201.26,4412.6301662400865
150,0.5304,77.39,0.4696,210.47,4411.261776270769
127,0.4575,67.59,0.5425,200.85,4407.409970844192
151,0.5334,77.81,0.4666,210.85,4405.700093718538
126,0.4543,67.18,0.5457,200.42,4401.513646427826
152,0.5364,78.22,0.4636,211.24,4399.703249079988
125,0.4512,66.77,0.5488,200.00,4395.165680872217
153,0.5395,78.64,0.4605,211.62,4393.250444015162
124,0.4480,66.35,0.5520,199.56,4388.218000519723
154,0.5424,79.05,0.4576,211.99,4386.449573847252
123,0.4448,65.94,0.5552,199.13,4380.751359892757
155,0.5454,79.47,0.4546,212.37,4378.965604268905
122,0.4416,65.53,0.5584,198.69,4372.876608155609
156,0.5484,79.89,0.4516,212.74,4371.092085332776
121,0.4385,65.13,0.5615,198.27,4364.681573913729
157,0.5515,80.31,0.4485,213.12,4362.646467471275
120,0.4353,64.71,0.5647,197.82,4355.610384258035
158,0.5545,80.75,0.4455,213.50,4353.588688488238
119,0.4321,64.31,0.5679,197.39,4346.32390074541
159,0.5577,81.19,0.4423,213.89,4343.744218697653
118,0.4289,63.90,0.5711,196.95,4336.391189928317
160,0.5609,81.64,0.4391,214.28,4333.370851312445
117,0.4257,63.48,0.5743,196.50,4325.784063133123
161,0.5640,82.08,0.4360,214.67,4322.72472893899
116,0.4223,63.06,0.5777,196.04,4314.3995305321305
162,0.5672,82.52,0.4328,215.05,4311.661673927823
115,0.4190,62.64,0.5810,195.59,4302.667853588522
163,0.5701,82.94,0.4299,215.41,4300.555836635465
114,0.4157,62.23,0.5843,195.13,4290.530796935646
164,0.5731,83.36,0.4269,215.77,4288.988095401031
113,0.4125,61.82,0.5875,194.69,4278.112001946966
165,0.5761,83.79,0.4239,216.13,4276.917736853474
112,0.4091,61.40,0.5909,194.22,4264.734765389265
166,0.5791,84.21,0.4209,216.48,4264.48973212132
167,0.5820,84.63,0.4180,216.83,4251.690007953248
111,0.4058,60.99,0.5942,193.77,4251.078744463628
168,0.5849,85.04,0.4151,217.17,4238.600700993311
110,0.4025,60.57,0.5975,193.30,4236.640935978166
169,0.5877,85.44,0.4123,217.50,4225.3990087285865
109,0.3990,60.15,0.6010,192.82,4221.359432210994
170,0.5906,85.85,0.4094,217.83,4211.494802492197
108,0.3956,59.73,0.6044,192.35,4205.798344743397
171,0.5934,86.25,0.4066,218.15,4197.520154059001
107,0.3922,59.30,0.6078,191.87,4189.4676785599095
172,0.5962,86.65,0.4038,218.47,4183.117679952008
106,0.3887,58.88,0.6113,191.39,4172.660263502723
173,0.5989,87.05,0.4011,218.78,4168.39529018731
105,0.3852,58.45,0.6148,190.91,4155.121982525169
174,0.6016,87.43,0.3984,219.08,4153.7918974237655
175,0.6044,87.84,0.3956,219.39,4138.02906922208
104,0.3817,58.02,0.6183,190.42,4136.913250253513
176,0.6071,88.23,0.3929,219.69,4122.204636327326
103,0.3781,57.59,0.6219,189.92,4118.188349577409
177,0.6097,88.61,0.3903,219.97,4106.63712082853
102,0.3744,57.14,0.6256,189.41,4098.041037267871
178,0.6124,89.01,0.3876,220.27,4089.7356152261304
101,0.3706,56.68,0.6294,188.88,4076.8928065783853
179,0.6150,89.39,0.3850,220.55,4073.136430805248
100,0.3669,56.23,0.6331,188.37,4055.8101683471755
180,0.6177,89.78,0.3823,220.83,4055.7707524247744
181,0.6202,90.15,0.3798,221.10,4038.6976256226585
99,0.3633,55.79,0.6367,187.86,4034.5486614160027
182,0.6228,90.54,0.3772,221.37,4020.879638429205
98,0.3595,55.34,0.6405,187.34,4012.08108055961
183,0.6255,90.93,0.3745,221.64,4001.9998505447998
97,0.3556,54.87,0.6444,186.80,3988.288157809799
184,0.6281,91.31,0.3719,221.90,3983.5788157355487
96,0.3517,54.41,0.6483,186.26,3964.3501895065438
185,0.6307,91.70,0.3693,222.16,3964.195921264308
186,0.6334,92.10,0.3666,222.43,3944.0557930107
95,0.3478,53.93,0.6522,185.72,3939.2737710553447
187,0.6361,92.50,0.3639,222.69,3923.2440167005657
94,0.3440,53.48,0.6560,185.19,3914.537856280609
188,0.6386,92.89,0.3614,222.93,3903.2092146266687
93,0.3400,53.01,0.6600,184.64,3888.31303574574
189,0.6414,93.30,0.3586,223.19,3881.2233569165046
92,0.3359,52.52,0.6641,184.07,3860.747351117769
190,0.6440,93.69,0.3560,223.44,3859.466833061652
191,0.6467,94.10,0.3533,223.69,3836.6665454861713
91,0.3318,52.03,0.6682,183.50,3832.5064610460076
192,0.6494,94.51,0.3506,223.93,3813.7288921320924
90,0.3277,51.55,0.6723,182.95,3804.311099918416
193,0.6521,94.92,0.3479,224.18,3790.127125400186
89,0.3236,51.06,0.6764,182.38,3775.0847575583684
194,0.6550,95.35,0.3450,224.42,3764.907045633022
88,0.3195,50.57,0.6805,181.82,3745.6094696781365
195,0.6579,95.78,0.3421,224.67,3739.057843211508
87,0.3153,50.06,0.6847,181.23,3714.2829176846894
196,0.6608,96.23,0.3392,224.92,3712.1240733460822
197,0.6638,96.69,0.3362,225.17,3684.0218095139408
86,0.3110,49.56,0.6890,180.66,3682.8528772681993
198,0.6668,97.15,0.3332,225.42,3655.222023985479
85,0.3067,49.04,0.6933,180.06,3649.9103780084242
199,0.6699,97.61,0.3301,225.66,3625.80301050096
84,0.3023,48.52,0.6977,179.46,3616.3139233154857
200,0.6731,98.09,0.3269,225.91,3594.947365913583
83,0.2979,48.00,0.7021,178.87,3582.05436809054
201,0.6762,98.58,0.3238,226.15,3563.6063839920434
82,0.2934,47.47,0.7066,178.26,3547.010671904294
202,0.6796,99.09,0.3204,226.41,3529.8355123077813
81,0.2889,46.93,0.7111,177.65,3510.7722291320524
203,0.6830,99.61,0.3170,226.66,3494.89934559527
80,0.2844,46.38,0.7156,177.04,3474.2059800833017
204,0.6865,100.14,0.3135,226.91,3458.8083549774938
79,0.2798,45.84,0.7202,176.43,3436.7388848350374
205,0.6902,100.70,0.3098,227.17,3420.305875686742
78,0.2753,45.30,0.7247,175.82,3399.4204065028393
206,0.6940,101.28,0.3060,227.44,3379.8613330340168
77,0.2708,44.75,0.7292,175.22,3361.530607884583
207,0.6979,101.87,0.3021,227.70,3337.896509385657
76,0.2662,44.18,0.7338,174.59,3321.5213356946438
208,0.7021,102.50,0.2979,227.98,3292.9495149359436
75,0.2616,43.63,0.7384,173.98,3282.188140423905
209,0.7065,103.17,0.2935,228.26,3244.8909522355257
74,0.2571,43.07,0.7429,173.38,3242.4562966521744
73,0.2523,42.50,0.7477,172.75,3200.788600784971
210,0.7112,103.87,0.2888,228.56,3193.616437014744
72,0.2476,41.91,0.7524,172.12,3158.4449541731474
211,0.7160,104.59,0.2840,228.86,3140.2962550508896
71,0.2430,41.34,0.7570,171.51,3116.458102015933
212,0.7210,105.33,0.2790,229.16,3084.548852602308
70,0.2384,40.77,0.7616,170.91,3074.9101132898127
69,0.2339,40.21,0.7661,170.31,3033.0803997077487
213,0.7263,106.12,0.2737,229.47,3024.4398386320177
68,0.2293,39.63,0.7707,169.71,2990.2177871693134
214,0.7319,106.94,0.2681,229.79,2961.801486206226
67,0.2246,39.04,0.7754,169.09,2945.5583719255374
66,0.2200,38.46,0.7800,168.49,2901.808808514453
215,0.7376,107.78,0.2624,230.11,2897.0630570090034
65,0.2154,37.86,0.7846,167.88,2856.882257656765
216,0.7435,108.64,0.2565,230.44,2829.499867678739
64,0.2108,37.28,0.7892,167.30,2812.679292037695
63,0.2063,36.70,0.7937,166.71,2768.2536403058466
217,0.7498,109.55,0.2502,230.78,2756.8225412785187
62,0.2019,36.11,0.7981,166.13,2723.455744651947
218,0.7565,110.51,0.2435,231.13,2679.853267731844
61,0.1974,35.53,0.8026,165.55,2678.295915008577
60,0.1930,34.94,0.8070,164.98,2633.335392826808
219,0.7635,111.50,0.2365,231.49,2599.871819082508
59,0.1886,34.37,0.8114,164.41,2588.354456926051
58,0.1842,33.77,0.8158,163.84,2542.122085405486
220,0.7707,112.51,0.2293,231.85,2516.9477936642584
57,0.1799,33.20,0.8201,163.29,2497.0886798882852
56,0.1757,32.62,0.8243,162.74,2451.672729300442
221,0.7783,113.57,0.2217,232.22,2429.367568455499
55,0.1713,32.03,0.8287,162.18,2404.8751331048697
54,0.1671,31.45,0.8329,161.64,2358.8549969287515
222,0.7866,114.72,0.2134,232.62,2333.188301293379
53,0.1628,30.85,0.8372,161.08,2311.475036447454
52,0.1586,30.26,0.8414,160.54,2264.445782940809
223,0.7953,115.91,0.2047,233.03,2232.9895565967513
51,0.1544,29.67,0.8456,160.00,2217.689071910848
50,0.1502,29.08,0.8498,159.47,2170.1568927573758
224,0.8048,117.18,0.1952,233.47,2124.177025698353
49,0.1461,28.49,0.8539,158.94,2122.836742706872
48,0.1420,27.90,0.8580,158.41,2075.328282722194
47,0.1379,27.30,0.8621,157.89,2027.245669384065
225,0.8151,118.55,0.1849,233.94,2006.7767062419098
46,0.1339,26.71,0.8661,157.38,1980.0700587358715
45,0.1299,26.11,0.8701,156.86,1931.9769824365858
44,0.1259,25.52,0.8741,156.35,1883.742209829792
226,0.8271,120.11,0.1729,234.49,1870.7958182417826
43,0.1219,24.91,0.8781,155.85,1835.3113783398353
42,0.1180,24.32,0.8820,155.35,1787.214229328285
41,0.1142,23.73,0.8858,154.86,1739.9678238174629
227,0.8403,121.78,0.1597,235.11,1723.8516574415476
40,0.1106,23.16,0.8894,154.40,1694.1128734092315
39,0.1070,22.59,0.8930,153.93,1648.1479730951269
